"sqldate","verbal_coop","material_coop","verbal_conf","material_conf"
"20110101","613","108","466","590"
"20110102","708","72","445","520"
"20110103","661","104","363","324"
"20110104","621","53","291","247"
"20110105","527","72","180","155"
"20110106","809","73","198","156"
"20110107","457","62","175","164"
"20110108","235","34","94","70"
"20110109","248","35","68","95"
"20110110","344","47","100","66"
"20110111","353","34","127","307"
"20110112","358","54","140","195"
"20110113","330","31","106","124"
"20110114","297","33","108","77"
"20110115","229","38","81","25"
"20110116","534","37","157","281"
"20110117","472","61","192","207"
"20110118","587","58","233","176"
"20110119","314","33","72","42"
"20110120","119","11","16","20"
"20110121","40","1","11","14"
"20110122","424","33","105","78"
"20110123","482","55","257","155"
"20110124","716","62","222","166"
"20110125","922","108","672","492"
"20110126","1651","371","1189","920"
"20110127","1442","228","944","801"
"20110128","4102","753","1840","1910"
"20110129","4435","755","1847","1603"
"20110130","5086","839","1619","1539"
"20110131","5222","992","1558","1253"
"20110201","7461","1186","2153","1523"
"20110202","6150","1075","2316","1522"
"20110203","5543","957","1982","1767"
"20110204","5716","1060","2011","1397"
"20110205","4080","798","1279","940"
"20110206","3740","589","993","744"
"20110207","3247","693","1075","797"
"20110208","2275","483","772","445"
"20110209","2872","537","1204","686"
"20110210","3660","997","1281","832"
"20110211","7219","1989","2431","1316"
"20110212","4880","1126","1810","1006"
"20110213","3246","697","1028","780"
"20110214","3035","619","1191","675"
"20110215","2650","538","824","734"
"20110216","2249","447","881","757"
"20110217","1435","297","482","391"
"20110218","206","56","76","37"
"20110219","2589","562","982","1012"
"20110220","1343","244","553","423"
"20110221","2165","311","690","522"
"20110222","2601","498","720","609"
"20110223","2248","521","684","775"
"20110224","1436","276","507","548"
"20110225","1458","263","385","352"
"20110226","939","189","296","267"
"20110227","985","242","320","351"
"20110228","1065","318","378","363"
"20110301","1045","229","333","296"
"20110302","1431","306","377","318"
"20110303","1643","425","340","379"
"20110304","1310","318","338","257"
"20110305","956","186","292","388"
"20110306","956","193","219","315"
"20110307","1199","250","345","237"
"20110308","1186","194","348","369"
"20110309","1615","273","420","576"
"20110310","1409","240","366","342"
"20110311","1005","205","293","234"
"20110312","1141","144","180","146"
"20110313","901","113","164","152"
"20110314","1064","127","193","181"
"20110315","1268","193","264","218"
"20110316","1372","206","332","271"
"20110317","950","186","186","213"
"20110318","871","150","248","279"
"20110319","880","185","206","180"
"20110320","958","198","293","239"
"20110321","1618","302","405","371"
"20110322","1809","356","499","507"
"20110323","904","206","238","230"
"20110324","866","154","243","251"
"20110325","612","122","159","175"
"20110326","441","59","97","118"
"20110327","602","81","121","110"
"20110328","788","110","153","166"
"20110329","887","116","181","199"
"20110330","494","107","141","95"
"20110331","734","144","161","122"
"20110401","870","154","298","247"
"20110402","870","179","199","300"
"20110403","671","147","225","194"
"20110404","604","158","144","191"
"20110405","568","139","155","145"
"20110406","641","127","246","188"
"20110407","627","124","195","168"
"20110408","572","144","319","224"
"20110409","656","162","354","442"
"20110410","873","174","370","288"
"20110411","918","168","299","295"
"20110412","848","225","329","336"
"20110413","1099","317","392","516"
"20110414","996","173","292","300"
"20110415","744","140","215","220"
"20110416","453","120","112","152"
"20110417","517","155","159","166"
"20110418","788","150","223","182"
"20110419","610","119","233","183"
"20110420","650","96","200","148"
"20110421","730","179","193","198"
"20110422","574","90","182","208"
"20110423","473","72","132","156"
"20110424","474","104","128","125"
"20110425","581","101","159","157"
"20110426","681","105","183","207"
"20110427","833","171","234","251"
"20110428","937","162","194","182"
"20110429","820","139","196","161"
"20110430","584","93","210","166"
"20110501","965","140","248","160"
"20110502","1026","145","333","271"
"20110503","1306","145","263","239"
"20110504","1108","138","233","164"
"20110505","1683","362","433","616"
"20110506","782","130","252","211"
"20110507","511","84","143","253"
"20110508","951","147","310","773"
"20110509","797","122","374","560"
"20110510","1878","405","533","754"
"20110511","643","112","177","234"
"20110512","559","116","180","210"
"20110513","623","126","211","262"
"20110514","337","79","111","136"
"20110515","515","67","131","182"
"20110516","370","62","94","111"
"20110517","626","246","171","148"
"20110518","756","236","233","200"
"20110519","972","221","280","253"
"20110520","741","140","194","126"
"20110521","500","118","188","98"
"20110522","240","54","40","46"
"20110523","391","69","97","133"
"20110524","694","141","205","257"
"20110525","466","94","107","137"
"20110526","735","233","208","207"
"20110527","756","156","263","236"
