actor,count
AAR,3975
AARCOP,8
AARCVL,46
AAREDU,4
AARELI,4
AARGOV,12
AARHLH,14
AARMED,6
AAROPP,5
AARPTY,5
AARREB,95
AARREF,7
AARSEP,25
AARUAF,8
ABK,566
ABKLEG,1
ABKSEP,5
ABKUAF,2
ABR,108
ABR010,576
ABR010COP,2
ABR010HLH,7
ABR010JUD,1
ABR012,459
ABR012GOV,2
ABR012HLH,425
ABR012LEG,2
ABRNRM020,16
ABRRAC010,454
ABRRAC010CHR,2
ABRRAC010CVL,32
ABRRAC010GOV,1
ABRRAC010JUD,5
ABRRAC010LAB,2
ABRRAC010LEG,3
ABRRAC010OPP,3
ABRRAC010RAD,1
ABRRAC010REB,2
ABRRAC010REL,16
ABRRAC013,10
ABW,5411
ABWBUS,11
ABWCOP,151
ABWCVL,38
ABWEDU,7
ABWELI,2
ABWELIGOV,3
ABWGOV,374
ABWGOVBUS,4
ABWGOVEDU,1
ABWGOVHLH,2
ABWGOVJUD,5
ABWGOVMED,5
ABWGOVPTY,3
ABWHLH,11
ABWJUD,365
ABWLAB,1
ABWLEG,9
ABWMED,31
ABWMIL,12
ABWOPP,1
ABWUAF,4
ACE,1173
ACEBUS,13
ACECOP,1
ACECRM,7
ACECVL,69
ACEEDU,25
ACEELI,3
ACEENV,1
ACEGOV,7
ACEHRI,3
ACELAB,5
ACELEG,6
ACEMED,2
ACEMIL,2
ACEOPP,26
ACEOPPEDU,2
ACEPTY,2
ACEREB,93
ACEREF,25
ACESEP,43
ACESET,2
ACEUAF,1
ACGCVL,2
ACH,3032
ACHCHR,4
ACHCVL,78
ACHEDU,7
ACHGOV,7
ACHLEG,16
ACHMED,4
ACHPTY,8
ACHREB,16
ACHREF,25
ACHREL,11
ACHUAF,2
ACTOR1CODE,71
ACTOR2CODE,71
ADA,7
ADI,890
ADIAGR,5
ADICHR,9
ADICVL,35
ADIEDU,27
ADIGOV,1
ADIGOVDEV,1
ADILEG,2
ADIMED,1
ADIOPP,6
ADIREB,2
ADISAS,1
ADIUAF,4
ADJ,1
ADR010,47
ADR010CVL,4
ADR010MIL,2
ADR020,47
ADR020REL,6
ADR030,1
ADR040,19
ADR050,3
ADR060,24
ADR060LAB,1
ADR060REL,1
ADR080,1
ADRSYN010,60
ADRSYN010HLH,1
ADRSYN020CVL,1
ADRSYN030,173
ADRSYN030CHRCTH,3
ADRSYN030LEG,4
ADRSYN030OPP,2
ADRSYN030REL,47
ADRSYN050,8
ADRSYN060,61
ADRSYN060REL,7
ADRSYN062,1
ADY,23
ADYCVL,1
AFA,15595
AFAAGR,36
AFABUS,6
AFACHR,4
AFACOP,3
AFACRM,7
AFACVL,208
AFAEDU,11
AFAGOV,66
AFALAB,4
AFALEG,6
AFAMED,2
AFAMIL,4
AFAOPP,1
AFAREB,85
AFAREBMOS,4
AFAREF,9
AFASPY,3
AFAUAF,9
AFG,1154324
AFGAGR,780
AFGBUS,3353
AFGCHR,175
AFGCHRCTH,4
AFGCOP,33100
AFGCRM,1797
AFGCVL,23848
AFGEDU,4365
AFGELI,8605
AFGELIBUS,1
AFGELICOP,24
AFGELICRM,3
